"SESSIONID","USERID","SESSION_DURATION_HOURS","WORKOUT_FREQUENCY_DAYS_WEEK","WORKOUT_TYPE","CALORIES_BURNED","MAX_BPM","AVG_BPM","RESTING_BPM","RATING","IS_HEALTHY","SESSION_DATE"
260,260,1,81,4,"Strength",2119,33,188,150,67,3,"No",17/12/25
261,261,1,81,4,"Yoga",1409,63,190,150,67,3,"No",17/12/25
262,262,1,08,3,"Yoga",714,1,187,136,58,1,"Yes",17/12/25
263,263,1,38,3,"Strength",1364,96,188,157,60,2,"Yes",17/12/25
264,264,1,75,5,"Yoga",1363,95,174,145,62,3,"No",17/12/25
265,265,1,83,4,"Cardio",1903,2,196,140,62,4,"No",17/12/25
266,266,1,32,3,"Yoga",870,41,189,148,73,2,"No",17/12/25
267,267,1,48,3,"Cardio",1419,62,178,147,64,3,"No",17/12/25
268,268,1,02,2,"HIIT",1231,96,194,126,73,3,"Yes",17/12/25
269,269,1,81,5,"Cardio",1882,4,183,156,67,4,"Yes",17/12/25
270,270,0,78,2,"Cardio",686,4,198,157,60,2,"No",17/12/25
271,271,1,88,5,"Cardio",1955,2,165,149,50,1,"Yes",17/12/25
272,272,1,19,3,"HIIT",1572,11,198,122,72,3,"No",17/12/25
273,273,1,19,3,"HIIT",1441,21,179,136,69,2,"Yes",17/12/25
274,274,0,76,3,"Cardio",667,58,163,168,67,1,"Yes",17/12/25
275,275,0,91,3,"Cardio",801,53,175,124,55,5,"No",17/12/25
276,276,0,8,3,"Yoga",528,48,178,125,61,1,"No",17/12/25
277,277,1,39,3,"Yoga",999,97,163,168,51,2,"Yes",17/12/25
278,278,1,45,4,"HIIT",1914,175,169,65,4,"No",17/12/25
279,279,1,47,3,"Yoga",1056,64,188,125,62,4,"Yes",17/12/25
280,280,1,09,4,"Yoga",786,11,171,167,62,2,"No",17/12/25
281,281,1,62,4,"Strength",1899,77,166,144,68,5,"No",17/12/25
282,282,0,72,2,"Yoga",475,2,199,129,61,2,"No",17/12/25
283,283,0,89,2,"Cardio",781,06,189,124,52,3,"Yes",17/12/25
284,284,1,1,4,"Strength",1188,99,167,135,69,4,"No",17/12/25
285,285,1,09,4,"Yoga",786,11,174,153,50,5,"No",17/12/25
286,286,1,49,3,"Yoga",1072,8,195,132,54,2,"No",17/12/25
287,287,0,96,3,"HIIT",1161,6,196,149,56,1,"Yes",17/12/25
288,288,1,41,3,"Cardio",1351,34,161,162,61,4,"Yes",17/12/25
289,289,1,02,3,"Cardio",979,2,193,136,73,3,"No",17/12/25
290,290,0,8,3,"HIIT",968,88,177,125,61,1,"No",17/12/25
291,291,0,74,2,"Yoga",487,51,199,130,53,1,"No",17/12/25
292,292,0,54,3,"HIIT",653,4,170,124,74,2,"Yes",17/12/25
293,293,1,22,3,"HIIT",1474,86,194,144,56,2,"Yes",17/12/25
294,294,1,65,4,"Cardio",1716,166,152,68,4,"No",17/12/25
295,295,1,71,5,"Yoga",1334,83,178,153,70,3,"Yes",17/12/25
296,296,1,39,3,"Strength",1502,45,188,165,65,4,"No",17/12/25
297,297,1,3,"HIIT",1321,1,193,136,73,3,"No",17/12/25
298,298,0,72,2,"Cardio",633,02,196,167,53,4,"Yes",17/12/25
299,299,1,01,2,"Cardio",887,18,160,129,66,1,"No",17/12/25
300,300,1,33,4,"HIIT",1752,67,194,150,65,4,"No",17/12/25
301,301,0,61,3,"Cardio",535,82,178,138,70,4,"Yes",17/12/25
302,302,1,93,4,"Cardio",2008,74,170,159,63,2,"Yes",17/12/25
303,303,1,72,5,"HIIT",2455,82,194,121,53,2,"No",17/12/25
304,304,0,73,2,"HIIT",885,71,192,139,68,2,"No",17/12/25
305,305,1,01,3,"Yoga",726,59,189,140,64,4,"Yes",17/12/25
