"USERID","AGE","GENDER","WEIGHT_KG","HEIGHT_M","FAT_PERCENTAGE","BMI","EXPERIENCE_LEVEL","CREATED_DATE"
278,41,"Female",55,17,1,55,27,94,22,96,"Intermediate",17/12/25
279,50,"Male",96,19,1,72,32,96,32,51,"Beginner",17/12/25
280,29,"Male",68,77,1,72,23,49,23,25,"Intermediate",17/12/25
281,22,"Male",55,08,1,62,22,83,20,99,"Advanced",17/12/25
282,31,"Female",70,49,1,98,24,44,17,98,"Beginner",17/12/25
283,44,"Male",47,68,1,76,17,87,15,39,"Beginner",17/12/25
284,51,"Male",54,48,1,53,25,07,23,27,"Intermediate",17/12/25
285,18,"Male",68,33,1,8,22,38,21,09,"Intermediate",17/12/25
286,36,"Male",122,12,1,93,35,32,78,"Intermediate",17/12/25
287,27,"Male",77,07,1,7,31,34,26,67,"Beginner",17/12/25
288,59,"Female",65,25,1,52,27,86,28,24,"Beginner",17/12/25
289,42,"Female",98,2,1,91,26,04,26,92,"Intermediate",17/12/25
290,19,"Male",73,44,1,79,27,96,22,92,"Beginner",17/12/25
291,38,"Male",77,35,1,58,34,87,30,98,"Beginner",17/12/25
292,53,"Male",61,48,1,64,27,04,22,86,"Beginner",17/12/25
293,36,"Female",47,86,1,68,18,75,16,96,"Beginner",17/12/25
294,52,"Male",58,16,1,56,24,86,23,9,"Advanced",17/12/25
295,45,"Male",89,95,1,81,29,43,27,46,"Advanced",17/12/25
296,42,"Male",69,23,1,87,22,8,19,8,"Intermediate",17/12/25
297,42,"Male",97,87,1,91,29,35,26,83,"Intermediate",17/12/25
298,23,"Male",121,36,1,85,35,35,46,"Beginner",17/12/25
299,56,"Male",129,43,1,95,34,87,34,04,"Beginner",17/12/25
300,45,"Male",57,29,1,72,18,01,19,37,"Beginner",17/12/25
301,19,"Male",56,98,1,87,20,34,16,29,"Beginner",17/12/25
302,25,"Female",81,57,1,61,29,67,31,47,"Advanced",17/12/25
303,59,"Male",60,3,1,76,19,27,19,47,"Intermediate",17/12/25
304,44,"Female",65,65,1,8,21,64,20,26,"Beginner",17/12/25
305,48,"Female",94,73,1,7,33,9,32,78,"Beginner",17/12/25
306,57,"Male",67,52,1,58,26,21,27,05,"Beginner",17/12/25
307,34,"Male",87,95,1,64,30,74,32,7,"Advanced",17/12/25
308,54,"Male",77,78,1,9,26,8,21,55,"Beginner",17/12/25
309,28,"Female",79,1,1,59,31,17,31,29,"Beginner",17/12/25
310,53,"Male",64,46,1,55,25,58,26,83,"Intermediate",17/12/25
311,39,"Male",57,97,1,56,24,5,23,82,"Beginner",17/12/25
312,26,"Male",63,74,1,49,28,73,28,71,"Intermediate",17/12/25
313,54,"Male",117,82,1,62,35,44,89,"Beginner",17/12/25
314,22,"Female",48,05,1,76,22,89,15,51,"Intermediate",17/12/25
315,47,"Female",88,81,1,6,34,47,34,69,"Advanced",17/12/25
316,23,"Male",82,83,1,8,26,6,25,56,"Beginner",17/12/25
317,31,"Male",57,33,1,56,23,63,23,56,"Intermediate",17/12/25
318,31,"Female",78,05,1,71,26,65,26,69,"Beginner",17/12/25
319,31,"Male",86,7,1,69,32,71,30,36,"Intermediate",17/12/25
320,47,"Male",42,21,1,58,21,49,16,91,"Intermediate",17/12/25
321,42,"Male",73,19,1,63,26,01,27,55,"Beginner",17/12/25
322,54,"Male",70,02,1,52,29,24,30,31,"Beginner",17/12/25
323,32,"Male",56,75,1,53,25,29,24,24,"Advanced",17/12/25
324,49,"Female",69,81,1,89,20,03,19,54,"Beginner",17/12/25
325,42,"Male",55,93,1,53,24,8,23,89,"Beginner",17/12/25
326,36,"Male",55,69,1,94,17,48,14,8,"Intermediate",17/12/25
327,37,"Female",109,51,1,62,35,41,73,"Beginner",17/12/25
328,18,"Male",68,39,1,8,24,05,21,11,"Beginner",17/12/25
329,21,"Female",55,18,1,78,22,11,17,42,"Beginner",17/12/25
330,25,"Male",59,6,1,51,26,92,26,14,"Advanced",17/12/25
331,52,"Female",47,53,1,54,20,76,20,04,"Intermediate",17/12/25
332,20,"Female",71,66,1,58,29,4,28,71,"Intermediate",17/12/25
333,45,"Male",48,14,1,64,19,17,17,9,"Beginner",17/12/25
334,47,"Female",66,86,1,74,24,15,22,08,"Intermediate",17/12/25
335,29,"Female",57,2,1,77,17,88,18,26,"Beginner",17/12/25
336,43,"Female",81,05,1,78,25,23,25,58,"Advanced",17/12/25
337,19,"Female",72,08,1,94,20,62,19,15,"Beginner",17/12/25
338,29,"Female",53,9,1,52,20,97,23,33,"Beginner",17/12/25
339,21,"Female",111,51,1,69,35,39,04,"Beginner",17/12/25
340,38,"Female",46,95,1,79,19,89,14,65,"Beginner",17/12/25
341,49,"Male",81,64,1,95,24,77,21,47,"Advanced",17/12/25
342,43,"Male",43,92,1,66,15,56,15,94,"Beginner",17/12/25
343,37,"Female",74,74,1,82,26,74,22,56,"Intermediate",17/12/25
344,23,"Male",61,16,1,62,25,21,23,3,"Advanced",17/12/25
345,36,"Female",99,48,1,99,26,8,25,12,"Beginner",17/12/25
346,32,"Female",63,74,1,8,25,27,19,67,"Beginner",17/12/25
347,42,"Male",63,18,1,98,18,76,16,12,"Intermediate",17/12/25
348,35,"Male",50,61,1,6,25,42,19,77,"Intermediate",17/12/25
349,51,"Female",57,42,1,77,21,05,18,33,"Intermediate",17/12/25
350,31,"Male",66,1,1,67,26,37,23,7,"Beginner",17/12/25
351,56,"Female",67,67,1,58,32,22,27,11,"Beginner",17/12/25
352,58,"Male",58,41,1,66,27,79,21,2,"Beginner",17/12/25
353,39,"Male",71,79,1,88,26,9,20,31,"Beginner",17/12/25
354,18,"Female",65,94,1,55,30,3,27,45,"Intermediate",17/12/25
355,52,"Female",66,56,1,6,29,98,26,"Beginner",17/12/25
356,48,"Male",81,15,1,77,29,03,25,9,"Intermediate",17/12/25
357,44,"Female",110,4,1,76,35,35,64,"Beginner",17/12/25
358,54,"Female",79,43,1,9,23,52,22,"Beginner",17/12/25
359,45,"Female",118,19,1,95,29,26,31,08,"Beginner",17/12/25
360,36,"Female",111,48,1,63,35,41,96,"Intermediate",17/12/25
361,44,"Female",61,03,1,55,25,27,25,4,"Beginner",17/12/25
362,34,"Female",64,29,1,62,27,73,24,5,"Advanced",17/12/25
363,29,"Male",56,28,1,77,19,64,17,96,"Beginner",17/12/25
364,34,"Female",65,94,1,68,25,91,23,36,"Beginner",17/12/25
365,45,"Female",65,87,1,57,28,92,26,72,"Beginner",17/12/25
366,56,"Female",84,77,1,63,32,66,31,91,"Intermediate",17/12/25
367,52,"Male",79,35,1,59,30,2,31,39,"Beginner",17/12/25
368,33,"Female",113,45,1,99,29,73,28,65,"Beginner",17/12/25
369,20,"Female",82,77,1,8,28,95,25,55,"Beginner",17/12/25
370,38,"Female",71,66,1,77,21,91,22,87,"Beginner",17/12/25
371,54,"Female",47,22,1,6,23,06,18,45,"Intermediate",17/12/25
372,57,"Female",51,5,1,63,19,99,19,38,"Beginner",17/12/25
373,32,"Male",58,76,1,66,24,79,21,32,"Beginner",17/12/25
374,20,"Female",111,08,1,94,33,34,29,51,"Intermediate",17/12/25
375,59,"Male",77,86,1,92,22,3,21,12,"Beginner",17/12/25
376,43,"Male",61,16,1,58,27,03,24,5,"Intermediate",17/12/25
377,41,"Male",66,97,1,74,26,19,22,12,"Beginner",17/12/25
378,54,"Male",78,4,1,66,27,15,28,45,"Intermediate",17/12/25
379,43,"Female",95,54,1,85,28,87,27,92,"Beginner",17/12/25
380,38,"Female",88,81,1,79,30,85,27,72,"Intermediate",17/12/25
381,52,"Male",70,73,1,72,28,89,23,91,"Beginner",17/12/25
382,34,"Female",111,99,1,85,33,24,32,72,"Beginner",17/12/25
383,18,"Female",82,98,1,96,21,61,21,6,"Advanced",17/12/25
